total_return,annual_return,sharpe,win_rate,profit_loss_ratio,max_drawdown,total_trades,stop_loss,take_profit,threshold
-0.0103,-0.010700000000000001,0.09,0.375,0.96,0.1516,33,0.05,0.15,3.5
-0.023,-0.024,0.04,0.375,0.86,0.1464,33,0.05,0.15,4.0
-0.0015,-0.0015,0.11,0.44439999999999996,0.93,0.1532,19,0.05,0.15,4.5
0.0273,0.028399999999999998,0.24,0.4,1.2,0.1514,31,0.05,0.2,3.5
0.0108,0.011200000000000002,0.18,0.4,1.03,0.1458,31,0.05,0.2,4.0
0.0176,0.0183,0.19,0.44439999999999996,1.07,0.1536,19,0.05,0.2,4.5
0.0638,0.0665,0.37,0.4,1.55,0.1275,31,0.05,0.25,3.5
0.0673,0.0702,0.38,0.4286,1.48,0.099,29,0.05,0.25,4.0
0.0339,0.0353,0.27,0.44439999999999996,1.18,0.1401,19,0.05,0.25,4.5
0.025699999999999997,0.0268,0.23,0.375,1.2,0.1399,33,0.05,0.3,3.5
0.0276,0.0288,0.24,0.4,1.14,0.15539999999999998,31,0.05,0.3,4.0
0.0194,0.0202,0.2,0.44439999999999996,1.08,0.1398,19,0.05,0.3,4.5
-0.0103,-0.010700000000000001,0.08,0.375,0.96,0.14279999999999998,33,0.07,0.15,3.5
-0.0227,-0.023700000000000002,0.03,0.375,0.86,0.15460000000000002,33,0.07,0.15,4.0
0.005699999999999999,0.006,0.14,0.44439999999999996,0.98,0.1741,19,0.07,0.15,4.5
0.0264,0.0275,0.23,0.4,1.2,0.1307,31,0.07,0.2,3.5
0.0104,0.0108,0.17,0.4,1.03,0.1349,31,0.07,0.2,4.0
0.0248,0.0258,0.23,0.44439999999999996,1.12,0.1746,19,0.07,0.2,4.5
0.0564,0.0588,0.34,0.4,1.46,0.1103,31,0.07,0.25,3.5
0.056600000000000004,0.059000000000000004,0.34,0.4286,1.36,0.0944,29,0.07,0.25,4.0
0.0415,0.0433,0.3,0.44439999999999996,1.25,0.1607,19,0.07,0.25,4.5
0.0197,0.0206,0.21,0.375,1.15,0.1503,33,0.07,0.3,3.5
0.0171,0.0178,0.2,0.4,1.07,0.15539999999999998,31,0.07,0.3,4.0
0.026699999999999998,0.0278,0.23,0.44439999999999996,1.14,0.1607,19,0.07,0.3,4.5
-0.0143,-0.0148,0.05,0.375,0.94,0.1328,33,0.08,0.15,3.5
-0.0291,-0.030299999999999997,-0.01,0.375,0.83,0.1441,33,0.08,0.15,4.0
0.0017000000000000001,0.0018,0.12,0.44439999999999996,0.95,0.1741,19,0.08,0.15,4.5
0.0232,0.0242,0.22,0.4,1.17,0.1362,31,0.08,0.2,3.5
0.0046,0.0048,0.14,0.4,0.99,0.1316,31,0.08,0.2,4.0
0.0204,0.0213,0.21,0.44439999999999996,1.09,0.1746,19,0.08,0.2,4.5
0.053,0.0552,0.34,0.4,1.42,0.11470000000000001,31,0.08,0.25,3.5
0.0507,0.0529,0.33,0.4286,1.31,0.0909,29,0.08,0.25,4.0
0.037200000000000004,0.0387,0.28,0.44439999999999996,1.21,0.1607,19,0.08,0.25,4.5
0.0222,0.0231,0.21,0.375,1.17,0.115,33,0.08,0.3,3.5
0.0195,0.0203,0.2,0.4,1.08,0.11289999999999999,31,0.08,0.3,4.0
0.022400000000000003,0.023399999999999997,0.21,0.44439999999999996,1.1,0.1607,19,0.08,0.3,4.5
-0.0233,-0.024300000000000002,-0.0,0.4,0.89,0.1387,31,0.1,0.15,3.5
-0.0172,-0.0179,0.02,0.4286,0.88,0.0913,29,0.1,0.15,4.0
-0.0077,-0.008,0.07,0.44439999999999996,0.89,0.1741,19,0.1,0.15,4.5
0.010700000000000001,0.0111,0.16,0.4286,1.08,0.1361,29,0.1,0.2,3.5
0.0129,0.0134,0.17,0.46149999999999997,1.03,0.0909,27,0.1,0.2,4.0
0.011000000000000001,0.0115,0.16,0.44439999999999996,1.02,0.1746,19,0.1,0.2,4.5
0.0341,0.0356,0.27,0.4286,1.24,0.09230000000000001,29,0.1,0.25,3.5
0.059800000000000006,0.0623,0.39,0.5,1.38,0.0909,25,0.1,0.25,4.0
0.0275,0.0286,0.24,0.44439999999999996,1.13,0.1607,19,0.1,0.25,4.5
0.0048,0.005,0.14,0.4,1.04,0.0975,31,0.1,0.3,3.5
0.0277,0.028900000000000002,0.24,0.46149999999999997,1.13,0.09880000000000001,27,0.1,0.3,4.0
0.0128,0.0134,0.17,0.44439999999999996,1.03,0.1607,19,0.1,0.3,4.5
